CAT.,ABBR.,TITLE,DESCRIPTION,NOTES
01,NF,Assorted Non-Foods,"Household goods, Toys, Books, Clothing",
02,BABY,Baby Food/Formula,All,
03,BEV,Beverages,"Coffee, Tea, Soda, Juice Drinks",
04,BP,Bread & Bakery,"Bread, Biscuits, Rolls, Batter, Tortillas, Pie Crusts, Bakery",
05,CEREAL,Cereal,Cereal,
06,MEAL,"Complete Meals/Entrees, Soups",All,
07,DAIRY,Dairy Products,"Yogurt, Cheese, Milk, Butter, Sour Cream, Ice Cream",
08,DSRT,Desserts,"Cakes, Pies, Pudding, Frozen Confections",
09,DRESS,Dressing,"Salad Dressings, Mayonnaise",
10,FRUIT,Fruits,"Canned, Frozen",
11,GRAIN,Grains,"Flour, Corn Meal, Matzo Meal",
12,HBC,Health/Beauty Care,"Shampoo, Conditioner, Soaps, Cosmetics, Deodorants, Toothpaste, Brushes",
13,CLEAN,Household Cleaning Products,"Detergent, Cleanser, Bleach, Fabric Softner",
14,JUICE,Juices,Pure Fruit and Vegetable Juice,
15,MEAT,Meats/Fish/Poultry,All,
16,MIX,Mixed & Assorted Food Items,All,
17,NDP,Non-Dairy Dairy Product,All,
18,NUTRI,Nutritional Aids,"Nutritional Drinks, Vitamins, Diet Supplements",
19,PHSE,Paper Products-Household,"Plates, Napkins, Towels, Toilet Paper, Facial Tissues",
20,PPERS,Paper Products-Personal,"Diapers, Adult Sanitary Products",
21,PASTA,Pasta,"Macaroni, Spaghetti, Noodles",
22,PET,Pet Foods/Pet Care,All,
23,PRO,Protein (non-meat),"Peanut Butter, ",
24,RICE,Rice,All,
25,SNACK,Snack Foods/Cookies,"All, Candy, Crackers, Nuts, Marshmallows",
26,COND,Spices/Condiments/Sauces,"Herbs, Salt, Sugar, Mixes, Bread Crumbs, Vinegar, Extracts, Mustard, Syrup, Gravies, Jelly, Salsa, Oil, Sauces, Pickles, Olives",
27,VEG,Vegetables,Canned,
28,FRESH,Produce,All Fresh Fruits and Vegetables,
29,DOUGH,Dough,"Uncooked, Frozen",
30 ,Beans and Lentils,,,New Category - Not in feeding america categorization
31,Nut Butters,,,New Category - Not in feeding america categorization
