,gtin_cd,gtin_nm
0,0012000017421,Flavored Water - Grape
1,0012000031106,Flavored Water - Strawberry Kiwi
2,0012000204463,Water
3,0033383000039,"Red Delicious WAXF 2 1/2\ 5lb"""
4,0033383000817,"Golden Delicious WAXF 2 1/2\ 3lb"""
5,0033383001531,"Granny Smith WAXF 2 1/2\ 3lb"""
6,0033383001562,"Granny Smith WAXF 2 1/4\ 3lb"""
7,0033383005485,Honeycrisp WAXF 3lb 2 ½”
8,0033383007410,"Gala WAXF 2 1/2\ 3lb"""
9,0033383007441,"Gala WAXF 2 1/4\ 3lb"""
10,0039400015925,Homestyle Baked Beans
11,0039400016731,Butter Beans Large
12,0039400018070,Pinto Beans Reduced Sodium
13,0039400018803,Black Beans
14,0039400019107,Bourbon and Brown Sugar
15,0039400019589,Bold & Spicy Baked Beans
16,0039400019848,Honey Baked Beans
17,0045587529100,Pear Nectar
18,0073410003053,White
19,0073410003558,Oatmeal
20,0073410022504,Stone Ground 100% Whole Wheat
21,0073410032091,Marble Rye
22,0073410116050,Dinner Rolls
23,0073410116173,Sandwich Thins Rolls Made with Whole Grain White
24,0073410134139,Pocket Thins Flatbread 8 Grain
25,0073410134184,Pocket Thins Flatbread 100% Whole Wheat
26,0073410138656,Premium Potato
27,0073410163009,White Hamburger Rolls
28,0087684001028,Tropical Punch Juice
29,0087684001110,Grape Juice
30,0087684001141,Srawberry Kiwi Juice
31,0087684001165,Berry Juice
32,0836093012053,Juice Clementine
33,0836093013074,Juice Apple
34,0836093014026,Juice Blackberry
35,0836093401314,Juice Black Raspberry
36,0857063002119,Three Cheese Lasagna
37,0857063002218,Tandoori Chicken Nuggets
38,0857063002355,"Dates, Tamarind & Walnuts"
39,0857063002638,Lemongrass Basil
40,0857063002669,Korma
41,0857063002676,Thai Red Curry
42,0012000013119,Water
43,0012000017438,Flavored Water - Grape
44,0012000031120,Flavored Water - Lemon
45,0033383000848,"Golden Delicious WAXF 2 1/4\ 3lb"""
46,0033383004693,"Braeburn WAXF 2 1/2\ 3lb"""
47,0033383004716,"Braeburn WAXF 2 1/2\ 5lb"""
48,0033383005492,"Jonagold WAXF 2 1/2\ 3lb"""
49,0039400016014,Onion Baked Beans
50,0039400016786,Butter Beans Speckled
51,0039400018841,Black Beans Seasoned Recipe
52,0039400018926,Refried Beans Fat Free
53,0039400019121,Smokehouse Tradition
54,0039400019206,Black Bean Fiesta
55,0039400019695,Maple Cured Bacon Baked Beans
56,0039400019725,Country Style Baked Beans
57,0045587520107,Apricot Nectar
58,0045587533107,Peach Nectar
59,0045587547104,Mango Nectar
60,0073410013540,Oat Bran
61,0073410013557,Oatnut
62,0073410013656,Health Nut
63,0073410013755,100% Whole Wheat
64,0073410013854,Healthy Multi-Grain
65,0073410025505,Whole Grain White
