id,category_id,nutrient,nutritional_field,rule_type,value,wellness
1,03,sugar,category,contains,03,FALSE
2,04,fiber,ingredients,first_item,whole grain,TRUE
3,05,sugar,sugar,lte,7,TRUE
4,06,sodium,sodium,lte,450,TRUE
5,07,sugar,category,contains,07,TRUE
6,08,sugar,category,contains,08,FALSE
7,10,sugar,sugar,lte,15,TRUE
8,11,fiber,ingredients,first_item,whole grain,TRUE
9,14,sugar,ingredients,contains,100% juice,TRUE
10,15,sodium,sodium,lte,250,TRUE
11,21,fiber,ingredients,first_item,whole grain,TRUE
12,30,sodium,sodium,lte,140,TRUE
13,31,,name,contains,peanut butter,TRUE
14,24,fiber,ingredients,first_item,whole grain,TRUE
15,25,sugar,sugar,lte,12,TRUE
16,26,sodium,sodium,lte,250,TRUE
17,27,sodium,sodium,lte,140,TRUE
18,28,sugar,category,contains,28,TRUE
