,brand_bsin,brand_img,brand_link,brand_nm,cal,cal_from_fat,calcium,chol_dv,chol_mg,country_iso_cd,diet_fiber_dv,diet_fiber_g,gcp_cd,gln_addr_02,gln_addr_04,gln_addr_city,gln_addr_postalcode,gln_cd,gln_country_iso_cd,gln_nm,gpc_s_cd,gtin_cd,gtin_img,gtin_nm,ingredients,iron,m_floz,m_g,m_ml,m_oz,owner_cd,owner_img,owner_link,owner_nm,owner_wiki_en,pkg_unit,pot_dv,pot_mg,prefix_nm,protein_g,return_code,sat_fat_dv,sat_fat_g,serv_ct,serv_size_g,serv_size_ml,sod_dv,sod_mg,sugars_g,tot_carb_dv,tot_carb_g,tot_fat_dv,tot_fat_g,trans_fat_g,vitamin_a,vitamin_c
0,48MHLZ,http://product.okfn.org.s3.amazonaws.com/images/brand/48MHLZ.jpg,http://www.aquafina.com,Aquafina,0.0,0.0,0.0,0.0,0.0,US,0.0,0.0,0012000,700 Anderson Hill Road,NY,Purchase,10577,0012000000003,US,Pepsi-Cola North America Inc.,50000000,0012000017421,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-001/0012000017421.jpg,Flavored Water - Grape,"FILTERED WATER,NATURAL FLAVOR,PHOSPHORIC ACID,CITRIC ACID,SODIUM HEXAMETAPHOSPHATE (TO PROTECT FLAVOR),SODIUM CITRATE,SODIUM BENZOATE (PRESERVES FRESHNESS),SUCRALOSE,CALCIUM DISODIUM EDTA (TO PROTECT FLAVOR)",0.0,20.0,,,,000012,http://product.okfn.org.s3.amazonaws.com/images/group/000012.jpg,http://www.pepsico.com,Pepsico,http://en.wikipedia.org/wiki/Pepsico,1,0.0,0.0,GS1 US,0.0,0,0.0,0.0,2.5,0.0,240.0,9.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1,48MHLZ,http://product.okfn.org.s3.amazonaws.com/images/brand/48MHLZ.jpg,http://www.aquafina.com,Aquafina,0.0,0.0,0.0,0.0,0.0,US,0.0,0.0,0012000,700 Anderson Hill Road,NY,Purchase,10577,0012000000003,US,Pepsi-Cola North America Inc.,50000000,0012000031106,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-001/0012000031106.jpg,Flavored Water - Strawberry Kiwi,"FILTERED WATER,CITRIC ACID,NATURAL FLAVOR,SODIUM HEXAMETAPHOSPHATE (TO PROTECT FLAVOR),PHOSPHORIC ACID,POTASSIUM CITRATE,POTASSIUM SORBATE (PRESERVES FRESHNESS),SUCRALOSE,ACESULFAME POTASSIUM,CALCIUM DISODIUM EDTA (TO PROTECT FLAVOR)",0.0,16.9,,,,000012,http://product.okfn.org.s3.amazonaws.com/images/group/000012.jpg,http://www.pepsico.com,Pepsico,http://en.wikipedia.org/wiki/Pepsico,6,0.0,0.0,GS1 US,0.0,0,0.0,0.0,2.0,0.0,240.0,6.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2,48MHLZ,http://product.okfn.org.s3.amazonaws.com/images/brand/48MHLZ.jpg,http://www.aquafina.com,Aquafina,0.0,0.0,0.0,0.0,0.0,US,0.0,0.0,0012000,700 Anderson Hill Road,NY,Purchase,10577,0012000000003,US,Pepsi-Cola North America Inc.,50000000,0012000204463,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-001/0012000204463.jpg,Water,PURIFIED WATER,0.0,24.0,,,,000012,http://product.okfn.org.s3.amazonaws.com/images/group/000012.jpg,http://www.pepsico.com,Pepsico,http://en.wikipedia.org/wiki/Pepsico,12,0.0,0.0,GS1 US,0.0,0,0.0,0.0,2.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3,8RB56Z,http://product.okfn.org.s3.amazonaws.com/images/brand/8RB56Z.jpg,http://www.washfruit.com,Washington Fruit & Produce Co.,130.0,0.0,2.0,0.0,0.0,US,20.0,5.0,0033383,P.O. Box 6036,DE,Newark,19714-6036,0033383000008,US,Produce Marketing Association Inc.,50000000,0033383000039,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0033383000039.jpg,"Red Delicious WAXF 2 1/2\ 5lb""",Apple,4.0,,2268.0,,389.0,,,,,,1,7.0,260.0,GS1 US,1.0,0,0.0,0.0,1.0,242.0,0.0,0.0,0.0,25.0,11.0,34.0,0.0,0.0,0.0,2,8.0
4,8RB56Z,http://product.okfn.org.s3.amazonaws.com/images/brand/8RB56Z.jpg,http://www.washfruit.com,Washington Fruit & Produce Co.,130.0,0.0,2.0,0.0,0.0,US,20.0,5.0,0033383,P.O. Box 6036,DE,Newark,19714-6036,0033383000008,US,Produce Marketing Association Inc.,50000000,0033383000817,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0033383000817.jpg,"Golden Delicious WAXF 2 1/2\ 3lb""",Apple,4.0,,1360.0,,233.0,,,,,,1,7.0,260.0,GS1 US,1.0,0,0.0,0.0,1.0,242.0,0.0,0.0,0.0,25.0,11.0,34.0,0.0,0.0,0.0,2,8.0
5,8RB56Z,http://product.okfn.org.s3.amazonaws.com/images/brand/8RB56Z.jpg,http://www.washfruit.com,Washington Fruit & Produce Co.,130.0,0.0,2.0,0.0,0.0,US,20.0,5.0,0033383,P.O. Box 6036,DE,Newark,19714-6036,0033383000008,US,Produce Marketing Association Inc.,50000000,0033383001531,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0033383001531.jpg,"Granny Smith WAXF 2 1/2\ 3lb""",Apple,4.0,,2268.0,,389.0,,,,,,1,7.0,260.0,GS1 US,1.0,0,0.0,0.0,1.0,242.0,0.0,0.0,0.0,25.0,11.0,34.0,0.0,0.0,0.0,2,8.0
6,8RB56Z,http://product.okfn.org.s3.amazonaws.com/images/brand/8RB56Z.jpg,http://www.washfruit.com,Washington Fruit & Produce Co.,130.0,0.0,2.0,0.0,0.0,US,20.0,5.0,0033383,P.O. Box 6036,DE,Newark,19714-6036,0033383000008,US,Produce Marketing Association Inc.,50000000,0033383001562,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0033383001562.jpg,"Granny Smith WAXF 2 1/4\ 3lb""",Apple,4.0,,2268.0,,389.0,,,,,,1,7.0,260.0,GS1 US,1.0,0,0.0,0.0,1.0,242.0,0.0,0.0,0.0,25.0,11.0,34.0,0.0,0.0,0.0,2,8.0
7,8RB56Z,http://product.okfn.org.s3.amazonaws.com/images/brand/8RB56Z.jpg,http://www.washfruit.com,Washington Fruit & Produce Co.,130.0,0.0,2.0,0.0,0.0,US,20.0,5.0,0033383,P.O. Box 6036,DE,Newark,19714-6036,0033383000008,US,Produce Marketing Association Inc.,50000000,0033383005485,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0033383005485.jpg,Honeycrisp WAXF 3lb 2 ½”,Apple,4.0,,2268.0,,389.0,,,,,,1,7.0,260.0,GS1 US,1.0,0,0.0,0.0,1.0,242.0,0.0,0.0,0.0,25.0,11.0,34.0,0.0,0.0,0.0,2,8.0
8,8RB56Z,http://product.okfn.org.s3.amazonaws.com/images/brand/8RB56Z.jpg,http://www.washfruit.com,Washington Fruit & Produce Co.,130.0,0.0,2.0,0.0,0.0,US,20.0,5.0,0033383,P.O. Box 6036,DE,Newark,19714-6036,0033383000008,US,Produce Marketing Association Inc.,50000000,0033383007410,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0033383007410.jpg,"Gala WAXF 2 1/2\ 3lb""",Apple,4.0,,1360.0,,233.0,,,,,,1,7.0,260.0,GS1 US,1.0,0,0.0,0.0,1.0,242.0,0.0,0.0,0.0,25.0,11.0,34.0,0.0,0.0,0.0,2,8.0
9,8RB56Z,http://product.okfn.org.s3.amazonaws.com/images/brand/8RB56Z.jpg,http://www.washfruit.com,Washington Fruit & Produce Co.,130.0,0.0,2.0,0.0,0.0,US,20.0,5.0,0033383,P.O. Box 6036,DE,Newark,19714-6036,0033383000008,US,Produce Marketing Association Inc.,50000000,0033383007441,http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0033383007441.jpg,"Gala WAXF 2 1/4\ 3lb""",Apple,4.0,,1360.0,,233.0,,,,,,1,7.0,260.0,GS1 US,1.0,0,0.0,0.0,1.0,242.0,0.0,0.0,0.0,25.0,11.0,34.0,0.0,0.0,0.0,2,8.0
